group,config,embedding,repeat,status,condition_number,pushforward,k,n_samples,theiler_w,noise_level,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
baseline,baseline,z_z_z,5,ok,8.63102661547655,20,50,5000,30,0.0,13.326544353442056,4929.593974787474,10.49017883173891,13.53804949401583,18.20708117702325,0.06941521769206685,15.462345927224405,19.613198878635774,5000,0
baseline,baseline,z_z_z,6,ok,8.63102661547655,20,50,5000,30,0.0,14.669757583268357,5912.6919604762315,12.026942570654866,15.000398388798471,20.141910024996598,0.06978902090527259,16.876308070068088,21.509477191603033,5000,0
baseline,baseline,z_z_z,7,ok,8.63102661547655,20,50,5000,30,0.0,14.079862528896236,5171.251614128821,12.551294522247886,14.246926052298134,19.18895479689898,0.06759127912179388,17.403633088788244,21.01233410645923,5000,0
baseline,baseline,z_z_z,8,ok,8.63102661547655,20,50,5000,30,0.0,14.892051715218527,5817.818804780295,12.537875479840181,15.193165877662453,20.337317992160063,0.07087791910008798,17.31344787045366,23.585798440211178,5000,0
baseline,baseline,z_z_z,9,ok,8.63102661547655,20,50,5000,30,0.0,14.324286019196729,5317.861685684394,11.525310432333146,14.515383351995691,19.51905943594983,0.07108672330922493,17.19653533497343,20.915897046825766,5000,0
baseline,baseline,y_z_y,0,ok,55.35812478627791,20,50,5000,30,0.0,4.931327003372728,403.3899990546485,5.007770765987763,5.076599235728581,5.919344919816829,0.06613814071429581,0.9645502185663261,0.5556720516006831,5000,0
baseline,baseline,y_z_y,1,ok,55.35812478627791,20,50,5000,30,0.0,4.699914125613944,390.3585918371483,4.6583020017420225,4.839648416156827,5.626399438075116,0.06437220906501309,0.9404144108891709,0.5518032378377778,5000,0
baseline,baseline,y_z_y,2,ok,55.35812478627791,20,50,5000,30,0.0,4.992674754926454,415.08230963127653,5.03505810377539,5.144476963072397,5.979698357922738,0.06683399681859153,0.965626827099827,0.5617841260742223,5000,0
baseline,baseline,y_z_y,3,ok,55.35812478627791,20,50,5000,30,0.0,4.5921669249955945,380.8902590221506,4.740975153581682,4.737329953869112,5.516518663654906,0.06569902475763076,0.8925473645811087,0.5344889637722269,5000,0
baseline,baseline,y_z_y,4,ok,55.35812478627791,20,50,5000,30,0.0,4.558999197117155,366.9490206106487,4.689680222755708,4.677846909876584,5.456837753707143,0.06569948303435288,0.8647030584233442,0.5337716346130993,5000,0
baseline,baseline,y_z_y,5,ok,55.35812478627791,20,50,5000,30,0.0,4.418634645781202,366.26704201693286,4.50610548327703,4.550471679630966,5.284302452387925,0.0665941573389778,0.8579399784750262,0.5264866460434342,5000,0
